,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
72,DIADetroit,"Jarrell depicts Davis wearing a ‘Revolutionary Suit’ designed by his spouse, Jae Jarrell, an African American artist known for her fashion designs and her involvement with the Black Arts Movement of the 1960s.",2020-06-01 18:31:49,0,0,176015
73,DIADetroit,"Words from her speeches — including ""STRUGGLE"", ""RESIST"", ""BLACK"", and ""BEAUTIFUL"" — swirl around her and emanate from her hair. ""Revolutionary"" was featured in the DIA's 2017 exhibition, ""Art of Rebellion: Black Art of the Civil Rights Movement.""",2020-06-01 18:31:49,0,3,176015
74,DIADetroit,"Artist Wadsworth Jarrell created ""Revolutionary"" in 1972. This portrait depicts African American political activist, writer, and scholar Angela Davis who became widely known known during the Civil Rights Movement. https://t.co/soKZUztd67",2020-06-01 18:31:48,12,30,176015
75,DIADetroit,"Whether inside the museum or at home, let's continue to find personal meaning in art — individually, and with each other. 💙 #DIAeveryday #AtHomeDIA",2020-05-30 21:28:41,1,9,176015
76,DIADetroit,Thank you to everyone for participating! Your endless innovation and imagination has filled us with immense feelings of joy. We would also like to give a special shout out to @GettyMuseum and Tussen Kunst &amp; Quarantaine for the inspiration.,2020-05-30 21:28:41,0,8,176015
77,DIADetroit,"With the final week of #RecreateDIA🤳 coming to a close, we figured it was only right to end this series sharing recreations inspired by one of the most beloved paintings in our collection: ""The Nut Gatherers"" (1882) by French painter William-Adolphe Bouguereau! https://t.co/zDRwPIT6fi",2020-05-30 21:28:40,10,36,176015
78,DIADetroit,"Among other features, Kresge Eminent artist Marie Woo will be highlighted as well. We also encourage you to explore our collection of Asian Arts: https://t.co/W6xpO6HMj7 #APAHM #AtHomeDIA",2020-05-29 22:18:48,1,3,176015
79,DIADetroit,"As Asian Pacific American Heritage Month comes to a close, we invite you to join us for a day-long virtual celebration!
 
This Saturday, May 30 — visit our Facebook page as we will share videos celebrating Asian Pacific American arts throughout the day. https://t.co/vr6cKCBlOI",2020-05-29 22:18:47,5,11,176015
80,DIADetroit,‘The Nightmare’ by Fuseli has another painting by him on the reverse - the completed ‘Portrait of a Lady’. The DIA applied stretcher has a special cut out for easier portrait viewing. It is reinforced to ensure both paintings are supported. #MuseumFromHome #BehindtheScenesDIA https://t.co/16Vdml4Xtv,2020-05-28 20:45:29,16,40,176015
81,DIADetroit,The DIA's collection is available online to browse and learn from wherever you are! Visit https://t.co/Ztm0Qe9ATX to explore our upcoming and past exhibitions.,2020-05-27 19:32:24,7,28,176015
82,DIADetroit,"Yay, Barbara!💙 https://t.co/oBohNLeGou",2020-05-26 18:08:21,1,6,176015
83,DIADetroit,"We wish you a peaceful and restful #MemorialDay! 🇺🇸

🎨""Flag Painting with Black Border,"" Elliott Brian Buczak, 1985, acrylic on canvas. Detroit Institute of Arts. https://t.co/Q1LNZcFGi7",2020-05-25 16:30:11,5,20,176015
84,DIADetroit,The 83rd Annual Detroit Public Schools Community District (DPSCD) Student Art Exhibition is now live! Visit the link in our bio to watch the full exhibition. #AtHomeDIA https://t.co/fxtrKaOYyV,2020-05-24 18:30:30,2,8,176015
85,DIADetroit,"If you can’t join us for the live event, come back on Friday to see a recorded video on our Facebook page afterwards.",2020-05-22 20:21:50,2,7,176015
86,DIADetroit,Missing the DIA's collection? Join us virtually every Thursday at 1 p.m. for a live (but virtual) tour of the DIA collection with your tour guides Howard Rosenberg and Ray Henney! Learn more here:  https://t.co/vy61FEPokm,2020-05-22 20:20:41,11,22,176015
87,DIADetroit,@HeatherPoirier2 @BrewsterRCS 💙😍,2020-05-21 20:50:34,0,2,176015
