,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
34,MuseumModernArt,"From the 1950s on, the language of abstraction became synonymous with modernity in South America. Artists aimed to reinvent art and society, their efforts reverberating across architecture, design, landscape design. Explore the #MoMAVirtualViews: https://t.co/hSpnFm1fVN https://t.co/KTu3I8IQTf",2020-05-29 19:01:27,91,250,5357233
35,MuseumModernArt,"While you listen, consider the influence of music on Alejandro Otero’s “Colorhythm” works. Shapes glide, float, and sink against the bands, in what the Venezuelan artist called “an open directional rhythm.” Explore more: https://t.co/hSpnFmiQNl https://t.co/pvKwy8hHyq",2020-05-29 14:27:36,17,58,5357233
36,MuseumModernArt,"Listen to a playlist scoring the abstract art featured in #SurModerno: https://t.co/eevd1lqD1d

Like these artists, 20th-century Latin American composers engaged with new aesthetic languages emerging from Europe while attempting to find a distinct artistic voice. https://t.co/5yRW12tTK2",2020-05-29 14:27:36,29,118,5357233
37,MuseumModernArt,"“These artists wanted to reimagine the world.” Curator Inés Katzenstein introduces #SurModerno. In the postwar years, South American artists pushed the boundaries of art and looking. Explore our #MoMAVirtualViews: https://t.co/hSpnFm1fVN https://t.co/6EP4tYVLQs",2020-05-28 20:32:47,22,71,5357233
38,MuseumModernArt,"Tune in tonight, May 28, at 8:00 p.m. EDT for a live Q&amp;A with curator Inés Katzenstein and Gabriel Pérez-Barreiro, Senior Advisor to @cppcisneros, about the exhibition: https://t.co/urb3ZwALyW https://t.co/M8KQHjHy5V",2020-05-28 15:01:58,19,64,5357233
39,MuseumModernArt,"Discover the transformative power of abstraction in Brazil, Venezuela, Argentina, and Uruguay at midcentury, when artists reinvented the art object—and the role of art in society. Explore #SurModerno, our latest #MoMAVirtualViews: https://t.co/hSpnFm1fVN https://t.co/mmfZ6UCF1T",2020-05-28 15:01:58,60,210,5357233
40,MuseumModernArt,Our Architecture and Design team has assembled a trove of essential reading on how the current global crisis affects all aspects of our daily lives and how we might begin to design our future. https://t.co/FPOu98khrQ https://t.co/mALrM9rl5r,2020-05-27 21:00:16,48,170,5357233
41,MuseumModernArt,"We're screening Arthur Jafa's 2018 video “akingdoncomethas” on #MoMAMagazine every day from 12-3 p.m. EDT through June 2! Before the first showing, drop in with the artist and curator Thomas Lax on our Instagram Live at noon. https://t.co/J7nA7Thpcq https://t.co/QuTKh4DN7n",2020-05-27 13:52:05,28,89,5357233
42,MuseumModernArt,"“At a time when our world is flipped upside-down, Christina is an anchor, an enduring presence. She never looks back... But one day, I know, our gazes will meet.” —Keith Daly

Our staff share artworks they look to for solace and perspective: https://t.co/9ro9NkhqR2
#MoMAPicks https://t.co/sh1QgUoRTx",2020-05-26 21:42:02,133,553,5357233
43,MuseumModernArt,"To create this photogram, Man Ray exposed photographic paper to light at least 3 times, each pass with different pairs of objects acting as stencils: hands, heads kissing, and darkroom trays. A perfect art experiment for a sunny day. ☀️No camera needed! https://t.co/VzF22o6I4k https://t.co/0ByLKAlUEb",2020-05-26 17:45:03,58,182,5357233
44,MuseumModernArt,"This #MemorialDay, we’re ringing in the unofficial start of summer with a virtual picnic, inspired by Stephen Frykohlm’s delectable posters 🍉🍔🌽🥧https://t.co/A4ELsMzt2y https://t.co/Kc8c2nBqet",2020-05-25 17:30:09,46,245,5357233
45,MuseumModernArt,"Sharing some #SundayVibes from photographer William Eggleston.

Get in the right state of mind to enjoy your day—from mindful walks to drawing prompts, we’ve got your guide to connectedness and healing through art: https://t.co/3hdrWtLRsE https://t.co/IJ4qMMOWVk",2020-05-24 16:46:02,28,166,5357233
46,MuseumModernArt,"“Basically everything in the world is a shape…every edge, corner, blob, form, silhouette, or negative space is something you have to navigate to get through a room."" —Amy Sillman

Explore https://t.co/wkNSI6w9Qk
#MoMAVirtualViews

🔹Romare Bearden
🔻Arshile Gorky
🔸Auguste Rodin https://t.co/1PNLFNcZuB",2020-05-23 17:20:04,47,187,5357233
47,MuseumModernArt,"Amy Sillman has helped push the medium of painting into drawing, installations, video, and zines. “All accidents and experiments, and discoveries, are what my work is about,” the artist has said. Explore Sillman’s #MoMAVirtualViews, ""The Shape of Shape"": https://t.co/wkNSI6w9Qk https://t.co/mQWzfjSgPJ",2020-05-22 21:50:03,13,89,5357233
48,MuseumModernArt,"“Everyone has a personal shape,” artist Amy Sillman reminds us: A shadow. Consider the shapes we carry with us in our #MoMAVirtualViews, ""The Shape of Shape"": https://t.co/wkNSI6w9Qk

👥Lee Friedlander
👥Ernst Ludwig Kirchner
👥Francis Picabia
👥Gertrude Greene https://t.co/voVW537WBw",2020-05-22 18:40:05,49,173,5357233
49,MuseumModernArt,"""If you think of shape as figure/ground, then every shape is a figure and the ground is the whole world,” artist Amy Sillman muses. Explore our #MoMAVirtualViews “The Shape of Shape"": https://t.co/wkNSI6w9Qk

◾Henri Matisse
🔺Hannah Wilke
🔸Chris Ofili
▫️Christina Ramberg https://t.co/yMfUXUbvvr",2020-05-21 22:58:04,59,267,5357233
50,MuseumModernArt,"Join Amy Sillman in conversation with Michelle Kuo tonight at 8:00 p.m. EDT as they talk about the importance of shape, the shape-making outliers of art history, and Sillman’s new zine: https://t.co/wGgYvi1fqn https://t.co/8IsNIe9RKQ",2020-05-21 15:48:55,6,68,5357233
51,MuseumModernArt,"Curator Michelle Kuo introduces “Amy Sillman: The Shape of Shape,” our latest #MoMAVirtualViews. Explore Sillman's highly personal exploration of shape—the ever-shifting boundaries that define what and how we see—in modern art: https://t.co/wkNSI6w9Qk https://t.co/Zz81VsL9or",2020-05-21 15:48:55,21,75,5357233
